MC	<p>229d_1782</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Correct	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>4ad2_a670</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Correct	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect
MC	<p>229d_c4e5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect
MC	<p>229d_9f3f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Correct
MC	<p>229d_1726</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect
MC	<p>229d_22a8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect
MC	<p>4ad2_b540</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Correct	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect
MC	<p>229d_48f1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect
MC	<p>4ad2_3de8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	A single olfactory sensory neuron typically expresses one receptor type.	Correct	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect
MC	<p>4ad2_7a18</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Correct	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect
MC	<p>229d_4114</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Correct	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect
MC	<p>4ad2_1da2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Correct	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect
MC	<p>4ad2_5dfa</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Correct
MC	<p>229d_5e77</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect
MC	<p>4ad2_457f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Correct
MC	<p>4ad2_69c6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Correct
MC	<p>4ad2_e4d8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect
MC	<p>4ad2_4883</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Correct	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect
MC	<p>229d_a391</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Correct	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect
MC	<p>4ad2_185b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Correct	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect
MC	<p>4ad2_c319</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Correct	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect
MC	<p>4ad2_205f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Correct
MC	<p>229d_8afb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect
MC	<p>229d_650f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct
MC	<p>229d_b159</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Correct
MC	<p>229d_bd7a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>229d_35fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect
MC	<p>229d_cda4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect
MC	<p>4ad2_141b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect
MC	<p>229d_5323</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Correct	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>229d_e9d9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect
MC	<p>4ad2_d212</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Correct
MC	<p>4ad2_9fe1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Correct	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect
MC	<p>229d_3e7c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Correct
MC	<p>229d_8eec</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect
MC	<p>229d_fe48</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct
MC	<p>229d_b1fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Correct	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect
MC	<p>4ad2_711a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect
