MC	<p>ce30_9934</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_7f65</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	In olfaction, odorant binding decreases <strong><strong>cAMP</strong></strong> by directly inhibiting adenylyl cyclase.	Correct	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_759b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste is often detected by direct ion flow across the membrane.	Correct	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect
MC	<p>ce30_b974</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfactory neurons, <strong><strong>cAMP</strong></strong> closes CNG channels to trigger depolarization.	Correct	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect
MC	<p>ce30_cbee</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Correct	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>ce30_1cda</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect
MC	<p>ce30_7c19</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Phosphodiesterase makes <strong><strong>cAMP</strong></strong> from ATP and starts signaling.	Correct
MC	<p>3dba_6330</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Correct	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect
MC	<p>ce30_77d1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect
MC	<p>3dba_f90b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	<strong><strong>cAMP</strong></strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Correct	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>ce30_5947</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong><strong>cAMP</strong></strong> and <strong><strong>cGMP</strong></strong>.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_2aeb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfactory neurons, <strong><strong>cAMP</strong></strong> closes CNG channels to trigger depolarization.	Correct	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>ce30_261c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong><strong>cAMP</strong></strong> and <strong><strong>cGMP</strong></strong>.	Correct	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect
MC	<p>ce30_7750</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	A single olfactory sensory neuron usually expresses one receptor type.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_6822</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect
MC	<p>ce30_236f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Correct	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect
MC	<p>3dba_5fe2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	A single olfactory sensory neuron usually expresses one receptor type.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect
MC	<p>3dba_86c2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Sweet taste commonly uses a <strong><strong>GPCR</strong></strong> pathway rather than a simple ion channel pore.	Correct	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect
MC	<p>3dba_a0ba</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Correct	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect
MC	<p>ce30_f2c2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct
MC	<p>3dba_2795</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong><strong>cAMP</strong></strong> production.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect
MC	<p>3dba_436e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Correct	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect
MC	<p>ce30_1166</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Correct	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect
MC	<p>ce30_a079</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Correct	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect
MC	<p>3dba_080a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Sweet taste commonly uses a <strong><strong>GPCR</strong></strong> pathway rather than a simple ion channel pore.	Correct	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect
MC	<p>3dba_5f3d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is often detected by <strong><strong>GPCR</strong></strong> type receptors on taste cells.	Correct	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect
MC	<p>ce30_7a07</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Correct
MC	<p>3dba_6987</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Bitter taste commonly uses <strong><strong>GPCR</strong></strong> type receptors and downstream signaling.	Correct	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>3dba_83a2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In sour sensing cells, protons (H+) can directly change ion channel activity.	Correct	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect
MC	<p>3dba_85ea</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect
MC	<p>ce30_805d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Correct	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect
MC	<p>ce30_7c99</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>3dba_0385</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong><strong>GPCR</strong></strong> signaling.	Correct
MC	<p>ce30_b995</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Correct	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect
MC	<p>3dba_2862</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Olfactory receptors are commonly seven-transmembrane <strong><strong>GPCR</strong></strong> proteins.	Correct	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect
MC	<p>ce30_d496</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect
MC	<p>ce30_7057</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Correct	Sour tastants are associated with low pH and increased proton concentration.	Incorrect
MC	<p>ce30_7f8f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Salty taste depends on <strong><strong>GPCR</strong></strong> activation of adenylyl cyclase and <strong><strong>cAMP</strong></strong>.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect
