MC	<p>229d_3a57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Correct
MC	<p>25e8_4d71</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Correct
MC	<p>25e8_2dd6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Correct	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect
MC	<p>229d_d14d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Correct
MC	<p>25e8_f955</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Correct	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect
MC	<p>229d_13c8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect
MC	<p>229d_a48e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect
MC	<p>229d_9fd6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Correct	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect
MC	<p>229d_4122</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Correct
MC	<p>229d_fc0a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect
MC	<p>229d_3af7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Correct	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect
MC	<p>25e8_085b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Correct	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect
MC	<p>229d_d095</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>229d_206d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>25e8_1ea8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Correct
MC	<p>25e8_9b28</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect
MC	<p>25e8_954d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	A single olfactory sensory neuron typically expresses one receptor type.	Correct	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect
MC	<p>25e8_b9a4</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Correct	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect
MC	<p>25e8_b52b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Correct	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect
MC	<p>229d_94ec</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect
MC	<p>229d_a480</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect
MC	<p>25e8_02a0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Correct	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect
MC	<p>25e8_514d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Correct	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect
MC	<p>229d_f544</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Correct
MC	<p>229d_1e22</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct
MC	<p>229d_99d7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Correct	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>25e8_bce1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct
MC	<p>229d_0ca1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Correct
MC	<p>25e8_88fd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect
MC	<p>25e8_4de5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Correct	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect
MC	<p>25e8_936f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Correct	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect
MC	<p>229d_5e57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Correct
MC	<p>229d_b1e4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Correct	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect
MC	<p>229d_dba2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>229d_c704</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Correct	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect
MC	<p>229d_548c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect
MC	<p>229d_b747</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Correct	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>229d_1760</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect
