MC	<p>229d_c2d3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect
MC	<p>229d_3b7f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>229d_43b4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Correct	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect
MC	<p>4ad2_40eb</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Correct
MC	<p>4ad2_49dc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect
MC	<p>4ad2_a383</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Correct	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect
MC	<p>4ad2_0e8f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Correct	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect
MC	<p>4ad2_045a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Correct	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect
MC	<p>4ad2_7704</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect
MC	<p>4ad2_cd0f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Correct
MC	<p>229d_04de</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Correct	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect
MC	<p>229d_6157</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect
MC	<p>4ad2_cb0d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Correct
MC	<p>229d_cf1e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect
MC	<p>4ad2_93dc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect
MC	<p>229d_1b18</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Correct	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>229d_1806</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect
MC	<p>229d_5a36</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect
MC	<p>4ad2_1acf</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect
MC	<p>4ad2_b871</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Correct	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect
MC	<p>4ad2_04f7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Correct	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect
MC	<p>4ad2_0415</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Correct
MC	<p>229d_040b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect
MC	<p>4ad2_d679</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Correct
MC	<p>229d_c22d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Correct	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect
MC	<p>4ad2_1600</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Correct
MC	<p>4ad2_08e5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect
MC	<p>4ad2_457a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Correct	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect
MC	<p>4ad2_7fdd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Correct
MC	<p>229d_660b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Correct	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect
MC	<p>229d_5fe1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect
MC	<p>4ad2_eb0a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect
MC	<p>4ad2_1b07</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Correct	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect
MC	<p>4ad2_4862</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Correct
MC	<p>229d_d384</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct
MC	<p>4ad2_1b2e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Correct	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect
MC	<p>229d_845e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect
MC	<p>4ad2_0078</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Correct	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect
