MC	<p>0ba7_5980</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect
MC	<p>0ba7_c34f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> form through spontaneous generation.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_17f9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain membrane-bound organelles.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_f987</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> have a nucleus which divides.	Correct
MC	<p>0ba7_b85d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect
MC	<p>0ba7_4026</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are made primarily of water.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect
MC	<p>0ba7_816d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect
MC	<p>0ba7_f4c3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_550f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_d9e3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_1e7d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect
MC	<p>0ba7_a621</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_2e2b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect
MC	<p>0ba7_8369</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Humans are multicellular.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect
MC	<p>0ba7_b4df</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are too small to see without a microscope.	Correct	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_ce36</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_b564</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">organs</span></strong></span></strong>.	Correct	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect
MC	<p>0ba7_6adf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_623a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct
MC	<p>0ba7_afa7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> must have a<strong> <span style="color: MediumBlue;">cell</span></strong> wall.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_1b5a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require oxygen in order to survive.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>0ba7_0968</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	Humans are multicellular.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_402f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require glucose for survival.	Correct
