MC	<p>b005_73a0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect
MC	<p>5d70_f28a</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of super-resolved fluorescence microscopy	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_267d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_0815</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>5d70_da1f</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_70fa</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
MC	<p>b005_8966</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect
MC	<p>5d70_e406</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Correct
MC	<p>b005_7ad8</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect
MC	<p>5d70_b567</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_05bc</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>b005_f2bb</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>b005_067c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries of mechanisms for autophagy	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect
MC	<p>b005_3174</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of mechanisms for autophagy	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>5d70_f36d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of multiscale models for complex chemical systems	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_28ab</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of super-resolved fluorescence microscopy	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct
MC	<p>b005_1788</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>5d70_570a</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_f182</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect
MC	<p>5d70_205d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_1a92</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct
MC	<p>5d70_f96d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Correct
MC	<p>5d70_0aeb</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct
MC	<p>5d70_e735</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_f185</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of mechanisms for autophagy	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_b0c1</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct
MC	<p>b005_861e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of mechanisms for autophagy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect
MC	<p>b005_f425</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>b005_d24a</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of super-resolved fluorescence microscopy	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>5d70_9312</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of super-resolved fluorescence microscopy	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_e56f</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>b005_c208</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct
MC	<p>5d70_c933</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of mechanisms for autophagy	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_1cba</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_3682</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>b005_d925</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>b005_3b58</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>b005_0fa2</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect
MC	<p>5d70_4c70</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_262c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries concerning a novel therapy against Malaria	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of multiscale models for complex chemical systems	Incorrect
MC	<p>b005_d979</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct
MC	<p>b005_9090</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>5d70_7a87</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_ce4c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect
MC	<p>5d70_5ccc</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_57e9</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_0c83</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	development of multiscale models for complex chemical systems	Incorrect
