MAT	<p>1623_9156</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the point of contact between paired chromatids that marks a crossover site	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or alike in certain critical attributes	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms
MAT	<p>1623_fa1e</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	a single duplicated chromosome with a common centromere	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes which carry the same genes, one from each parental source	chiasmata	the visible link between two (non-sister) chromatids belonging to <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	not an exact copy but having the same structural features and pattern of genes
MAT	<p>1623_e91f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the region where <strong><span style="color: #d40000;">homologous chromosomes</span></strong> stay connected after crossing over	crossing over	the exchange of genes between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	one chromosome from the mother and one chromosome from the father	synapsis	the matching-up of homologous pairs prior to their segregation
MAT	<p>1623_ae15</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	crossing over	a process by which parts of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> are interchanged	chiasmata	the physical link between non-sister chromatids of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> that remain after crossing over	synapsis	<strong><span style="color: #d40000;">homologous chromosomes</span></strong> pair with their counterparts and remain bound	<strong><span style="color: #007576;">homologous</span></strong>	not an exact copy but having the same structural features and pattern of genes
MAT	<p>1623_9ee8</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	crossing over	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes which contain the same genes in the same order along their chromosomal arms	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function
MAT	<p>1623_b197</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	the lengthwise pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	denoting organs or parts corresponding in evolutionary origin and similar to some extent in structure	crossing over	a process by which parts of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> are interchanged	sister chromatids	two identical copies of the same chromosome formed by DNA replication
MAT	<p>1623_3abb</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	one chromosome from the mother and one chromosome from the father	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>
MAT	<p>1623_ceae</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	identical copies (chromatids) of a chromosome formed by DNA replication	chiasmata	the point of contact between paired chromatids that marks a crossover site	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes of similar length, gene position, and centromere location
MAT	<p>1623_5d5f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	sister chromatids	a single duplicated chromosome with a common centromere	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two similar but different copies of a chromosome	crossing over	the exchange of genes between two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics
MAT	<p>1623_26a0</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or similar in position, value, structure, or function	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes which contain the same genes in the same order along their chromosomal arms
MAT	<p>1623_5732</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	<strong><span style="color: #d40000;">homologous chromosomes</span></strong> pair with their counterparts and remain bound	crossing over	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes which carry the same genes, one from each parental source
MAT	<p>1623_d984</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	denoting organs or parts corresponding in evolutionary origin and similar to some extent in structure	sister chromatids	two identical copies of a chromosome joined together by a common centromere	synapsis	<strong><span style="color: #d40000;">homologous chromosomes</span></strong> pair with their counterparts and remain bound	chiasmata	the region where <strong><span style="color: #d40000;">homologous chromosomes</span></strong> stay connected after crossing over
MAT	<p>1623_461c</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	synapsis	pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> prior to their separation into daughter cells	crossing over	the exchange of genes between two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or similar in position, value, structure, or function
MAT	<p>1623_4bfc</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>
MAT	<p>1623_898e</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the point of contact between paired chromatids that marks a crossover site	synapsis	the lengthwise pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	crossing over	the exchange of genes between two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes which contain the same genes in the same order along their chromosomal arms
MAT	<p>1623_4729</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together	sister chromatids	a single duplicated chromosome with a common centromere	crossing over	the exchange of genes between two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics
MAT	<p>1623_f013</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two similar but different copies of a chromosome	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose
MAT	<p>1623_683f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function	synapsis	the lengthwise pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes which carry the same genes, one from each parental source	chiasmata	the point of contact between paired chromatids that marks a crossover site
MAT	<p>1623_6cd5</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	process of pairing of homologous (maternal and paternal) chromosomes	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere
MAT	<p>1623_d381</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	identical copies (chromatids) of a chromosome formed by DNA replication	<strong><span style="color: #007576;">homologous</span></strong>	denoting organs or parts corresponding in evolutionary origin and similar to some extent in structure	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes which contain the same genes in the same order along their chromosomal arms
MAT	<p>1623_0f2c</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	chiasmata	the point of contact between paired chromatids that marks a crossover site	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or alike in certain critical attributes	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>
MAT	<p>1623_5884</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #14703a;">crossing over</span>	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	<span style="color: #8d328d;">synapsis</span>	the matching-up of homologous pairs prior to their segregation	<span style="color: #765909;">chiasmata</span>	the point of contact between paired chromatids that marks a crossover site	<span style="color: #036594;">sister chromatids</span>	two identical copies of one chromosome specifically created for cell division
MAT	<p>1623_48c9</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or similar in position, value, structure, or function	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosome pairs (one from each parent) that are similar in length, gene position, and centromere location	synapsis	pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> prior to their separation into daughter cells
MAT	<p>1623_b7c3</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	denoting organs or parts corresponding in evolutionary origin and similar to some extent in structure	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chiasmata	a point of overlap of paired chromatids at which exchange of genetic material has taken place	synapsis	<strong><span style="color: #d40000;">homologous chromosomes</span></strong> pair with their counterparts and remain bound
MAT	<p>1623_2a30</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the visible link between two (non-sister) chromatids belonging to <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	crossing over	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or alike in certain critical attributes	sister chromatids	two identical copies of the same chromosome formed by DNA replication
MAT	<p>1623_4c79</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	synapsis	the lengthwise pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	chiasmata	the point of contact between paired chromatids that marks a crossover site
MAT	<p>1623_cd9f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two similar but different copies of a chromosome	synapsis	the matching-up of homologous pairs prior to their segregation	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together
MAT	<p>1623_f952</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes which carry the same genes, one from each parental source	chiasmata	the point of contact between paired chromatids that marks a crossover site	synapsis	the matching-up of homologous pairs prior to their segregation
MAT	<p>1623_361a</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	crossing over	a process by which parts of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> are interchanged	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes of similar length, gene position, and centromere location	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together
MAT	<p>1623_f328</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the physical link between non-sister chromatids of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> that remain after crossing over	sister chromatids	two identical copies of a chromosome joined together by a common centromere	synapsis	pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> prior to their separation into daughter cells	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms
MAT	<p>1623_00b0</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	chiasmata	the point of contact between paired chromatids that marks a crossover site	crossing over	the exchange of genes between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics
MAT	<p>1623_f8d6</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical chromatids that are formed by replication of a chromosome	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	<strong><span style="color: #007576;">homologous</span></strong>	denoting organs or parts corresponding in evolutionary origin and similar to some extent in structure	chiasmata	the physical link between non-sister chromatids of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> that remain after crossing over
MAT	<p>1623_54c3</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of one chromosome specifically created for cell division	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chiasmata	a point of overlap of paired chromatids at which exchange of genetic material has taken place	<strong><span style="color: #007576;">homologous</span></strong>	not an exact copy but having the same structural features and pattern of genes
MAT	<p>1623_2c41</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the point of contact between paired chromatids that marks a crossover site	crossing over	the exchange of genes between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes which carry the same genes, one from each parental source
MAT	<p>1623_1746</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">homologous</span></strong>	not an exact copy but having the same structural features and pattern of genes	chiasmata	the visible link between two (non-sister) chromatids belonging to <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	synapsis	pairing of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> prior to their separation into daughter cells	sister chromatids	two identical copies of the same chromosome formed by DNA replication
MAT	<p>1623_362f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	a point of overlap of paired chromatids at which exchange of genetic material has taken place	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	sister chromatids	two identical copies of a single replicated chromosome joined at the centromere	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or similar in position, value, structure, or function
MAT	<p>1623_41a0</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of one chromosome specifically created for cell division	chiasmata	the region where <strong><span style="color: #d40000;">homologous chromosomes</span></strong> stay connected after crossing over	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose
MAT	<p>1623_b99c</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms	synapsis	process of pairing of homologous (maternal and paternal) chromosomes	chiasmata	the region where <strong><span style="color: #d40000;">homologous chromosomes</span></strong> stay connected after crossing over
MAT	<p>1623_ff8f</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together	sister chromatids	two identical copies of the same chromosome formed by DNA replication	crossing over	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	one chromosome from the mother and one chromosome from the father
MAT	<p>1623_362b</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #8d328d;">synapsis</span>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong> pair with their counterparts and remain bound	<span style="color: #036594;">sister chromatids</span>	two identical copies of a single replicated chromosome joined at the centromere	<span style="color: #14703a;">crossing over</span>	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<span style="color: #765909;">chiasmata</span>	the physical link between non-sister chromatids of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> that remain after crossing over
