MC	<p>097f_9af1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>4106_857c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect
MC	<p>097f_b928</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Sound is converted into electrical signals by hair cell deflection.	Correct	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>4106_fe42</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>4106_2878</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells detect sound by photoreception in the cochlea.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect
MC	<p>4106_d77d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_4ed9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Cones support color vision and function best at higher light levels than rods.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Correct	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>4106_e053</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are more sensitive to low light than cones.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Correct
MC	<p>4106_4e47</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	In darkness, rods have low <strong><strong>cGMP</strong></strong> and all <strong><strong>CNG</strong></strong> channels are closed.	Correct	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>097f_29b0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect
MC	<p>097f_27b8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Correct
MC	<p>4106_a602</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect
MC	<p>097f_7eb1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect
MC	<p>097f_d6fa</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Correct	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect
MC	<p>097f_f97b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Correct	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect
MC	<p>097f_eaa8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong><strong>retinal</strong></strong> chromophore.	Correct	Cones are more sensitive to dim light than rods.	Incorrect	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect
MC	<p>4106_4a46</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>4106_2d22</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong><strong>retinal</strong></strong>.	Correct	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_cd9e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Correct	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect
MC	<p>4106_3290</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Correct	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>4106_1ed9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Phototransduction begins by synthesizing <strong><strong>cGMP</strong></strong> from GDP.	Correct	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect
MC	<p>097f_9607</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect
MC	<p>4106_8d50</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	In rods, light increases <strong><strong>cGMP</strong></strong> to open more <strong><strong>CNG</strong></strong> channels.	Correct	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>4106_8e8e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Correct	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect
MC	<p>097f_af9e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect
MC	<p>097f_dd84</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Correct	Cones are more sensitive to dim light than rods.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect
MC	<p>4106_59e8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	<strong><strong>CNG</strong></strong> channels close in darkness because <strong><strong>cGMP</strong></strong> is highest in light.	Correct
MC	<p>4106_0154</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Phototransduction begins by synthesizing <strong><strong>cGMP</strong></strong> from GDP.	Correct	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>097f_a4d7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rods are responsible for most color discrimination in bright light.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Correct	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect
MC	<p>097f_dc7f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones support color vision and function best at higher light levels than rods.	Correct	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect
MC	<p>097f_758a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Rhodopsin is formed when opsin binds <strong><strong>retinal</strong></strong>.	Correct	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect
MC	<p>4106_8d30</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Phototransduction begins by synthesizing <strong><strong>cGMP</strong></strong> from GDP.	Correct	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect
MC	<p>097f_2c21</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rhodopsin is formed when opsin binds <strong><strong>retinal</strong></strong>.	Correct
MC	<p>097f_295a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct
MC	<p>097f_5035</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect
MC	<p>097f_cc64</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Mechanical tension through tip links can gate hair cell transduction channels.	Correct	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>097f_d772</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect
MC	<p>4106_de6c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect
MC	<p>097f_aafb</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Correct	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect
