MAT	<p>38e7_8d58</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #765912;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #276489;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #146d58;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel
MAT	<p>38e7_de6e</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #894d00;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #4c681f;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached
MAT	<p>38e7_f109</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #4c681f;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #894d00;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #006c6c;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template
MAT	<p>38e7_9a92</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #8a368d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #993e15;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #666100;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached
MAT	<p>38e7_5c5c</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #5150b1;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #00697d;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #666100;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel
MAT	<p>38e7_85ab</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #894d00;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #286e3c;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_235a</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #993e15;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #00697d;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #5150b1;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #666100;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template
MAT	<p>38e7_84c3</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #953666;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #5150b1;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #00697d;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template
MAT	<p>38e7_9444</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #894d00;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #4c681f;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_8c25</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #a12f3b;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #146d58;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #276489;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel
MAT	<p>38e7_1ae2</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #5150b1;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #286e3c;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #765912;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_bfab</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #286e3c;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #765912;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #00697d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_c03b</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #5150b1;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #666100;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #00697d;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #993e15;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead
MAT	<p>38e7_3a21</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #146d58;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #365d9d;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #953666;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #894d00;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel
MAT	<p>38e7_0ada</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #765912;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #286e3c;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_5b8c</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #286e3c;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #276489;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #765912;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel
MAT	<p>38e7_1da2</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #146d58;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #666100;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #365d9d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #a12f3b;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead
MAT	<p>38e7_8fbb</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #8a368d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #894d00;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #286e3c;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #365d9d;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters
MAT	<p>38e7_6f93</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #8a368d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #666100;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #006c6c;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #365d9d;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached
MAT	<p>38e7_f020</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #a12f3b;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #765912;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #365d9d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #146d58;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template
MAT	<p>38e7_f78b</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #365d9d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #4c681f;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #993e15;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template
MAT	<p>38e7_62b2</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #7241a9;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #146d58;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #993e15;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #666100;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel
MAT	<p>38e7_6786</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #5150b1;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #953666;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #666100;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #00697d;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template
MAT	<p>38e7_3048</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #7241a9;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #276489;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #286e3c;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #a12f3b;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead
MAT	<p>38e7_50dc</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #146d58;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #276489;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #8a368d;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation	<span style="color: #765912;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead
MAT	<p>38e7_57cc</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006c6c;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #666100;">Classical Sanger sequencing</span>	takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel	<span style="color: #365d9d;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #953666;">Terminal-dye Sanger sequencing</span>	detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation
MAT	<p>38e7_6f14</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #276489;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #146d58;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #666100;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #7241a9;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template
MAT	<p>38e7_3e7d</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #993e15;">Illumina sequencing by synthesis</span>	detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template	<span style="color: #146d58;">PacBio single molecule real time (SMRT) sequencing</span>	detects a fluorescent tag on each nucleotide using a zero-mode waveguide with a single active DNA polymerase attached	<span style="color: #7241a9;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template	<span style="color: #666100;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel
MAT	<p>38e7_0040</p> <p>Match each of the following DNA sequencing techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #666100;">Ion Torrent semiconductor sequencing</span>	detects individual hydrogen ions released during DNA synthesis using microscopic pH meters	<span style="color: #146d58;">Oxford Nanopore sequencing</span>	detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel	<span style="color: #993e15;">ABI solid sequencing</span>	detects sequences as they ligate to a di-base probe attached to a magnetic bead	<span style="color: #365d9d;">Roche 454 pyrosequencing</span>	detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template
