MAT	<p>b70a_bd24</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &beta;-glycosidic linkages	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	also know as resistant starch, because it has no branches and it is resistant to digestion	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by <strong><span style="color: #5A8432;">plants</span></strong>
MAT	<p>b70a_3e39</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells
MAT	<p>b70a_6a4a</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &beta;-glycosidic linkages	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	branched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages
MAT	<p>b70a_894d</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages
MAT	<p>b70a_f843</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>
MAT	<p>b70a_0629</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals
MAT	<p>b70a_100d</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	major <strong><span style="color: #AA693A;">structural</span></strong> component of <strong><span style="color: #b45918;">cell walls</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages
MAT	<p>b70a_1821</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>
MAT	<p>b70a_06e3</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches
MAT	<p>b70a_36cf</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>
MAT	<p>b70a_8bf1</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	<strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>
MAT	<p>b70a_22d2</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages
MAT	<p>b70a_b2fb</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &beta;-glycosidic linkages	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells
MAT	<p>b70a_e264</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	<strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	also know as resistant starch, because it has no branches and it is resistant to digestion
MAT	<p>b70a_706b</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong>
MAT	<p>b70a_ce72</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong>	polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong>	<strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong>	highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong>	<strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong>	<strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages	<strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong>	linear chain of glucose with &alpha;-glycosidic linkages and no branches	<strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong>	major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons
