MC	<p>d800_6730</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>023d_2d57</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>a3ef_ab63</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>a3ef_12cc</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>a3ef_41b6</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>a3ef_38a9</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>023d_856a</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>e775_eec4</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>1959_76a1</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>e775_eaf2</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_a383</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>fecf_deaf</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct
MC	<p>a3ef_5ac8</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>fecf_c5ef</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
MC	<p>a3ef_6656</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>e775_e369</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_5767</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>1959_922f</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_5f6b</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>023d_654f</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>1959_cc66</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct
MC	<p>d800_b6f3</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>a3ef_77fd</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>a3ef_a4ac</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct
