MC	<p>b005_115d</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>5d70_6b86</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_08b1</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct
MC	<p>b005_5c74</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries of mechanisms for autophagy	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>5d70_2ee4</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_6071</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>b005_3d59</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect
MC	<p>b005_90d0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of cells that constitute a positioning system in the brain	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect
MC	<p>5d70_9d46</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_66a8</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_c63a</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect
MC	<p>5d70_e0ad</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_b1fd</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of multiscale models for complex chemical systems	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>5d70_4282</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_4d90</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_e6e3</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_7b7e</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_3f93</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of super-resolved fluorescence microscopy	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>b005_2d3e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect
MC	<p>b005_8333</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_eca3</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect
MC	<p>5d70_240c</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Correct
MC	<p>5d70_5572</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_254b</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_9fda</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of multiscale models for complex chemical systems	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>b005_ff68</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
MC	<p>b005_5f76</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect
MC	<p>5d70_8eef</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_6905</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>b005_0e8c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>5d70_6a91</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries of molecular mechanisms controlling the circadian rhythm	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_51e4</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_610d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_13fc</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discoveries of mechanisms for autophagy	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>b005_a234</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_c7b9</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of multiscale models for complex chemical systems	Incorrect
MC	<p>b005_5231</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>5d70_0d5d</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>5d70_3099</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_5855</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
