MC	<p>b005_450c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_020d</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>b005_6c32</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_2792</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of super-resolved fluorescence microscopy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>b005_92ba</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_5e38</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect
MC	<p>b005_9c3a</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of mechanisms for autophagy	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>b005_b35c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of mechanisms for autophagy	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct
MC	<p>5d70_974f</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Correct
MC	<p>5d70_db8b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_c2ab</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_88bb</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_e2fb</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of multiscale models for complex chemical systems	Incorrect
MC	<p>b005_2542</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of cells that constitute a positioning system in the brain	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_1d5b</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>5d70_0a73</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_6ab5</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>5d70_a3a5</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_2d94</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
MC	<p>5d70_12d0</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Correct
MC	<p>b005_b4ec</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_cd62</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_9bac</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries of mechanisms for autophagy	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect
MC	<p>5d70_fe97</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_a151</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>5d70_8755</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_27c2</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>5d70_62a4</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_c4bd</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>5d70_2d4f</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Correct
MC	<p>b005_4c7d</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct
MC	<p>b005_50c0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>5d70_3f78</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_cf35</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>b005_aa98</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of mechanisms for autophagy	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>5d70_6346</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_f059</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of multiscale models for complex chemical systems	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect
MC	<p>b005_53a4</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of how cells sense and adapt to oxygen availability	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>5d70_0bbc</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discovery of blood-borne Hepatitis C virus, a major global health problem	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_9ee9</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct
MC	<p>5d70_26b8</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning a novel therapy against Malaria	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_1b73</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct
MC	<p>5d70_6f38</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discoveries concerning a novel therapy against Malaria	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_7f22</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_b9fb</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Correct
MC	<p>b005_732f</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of cells that constitute a positioning system in the brain	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect
MC	<p>b005_cf20</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
